"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 17:41:41 GMT 2024","Wed Mar 27 17:41:41 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"passed","Wed Mar 27 17:40:49 GMT 2024","Wed Mar 27 17:40:50 GMT 2024","1368","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"failed","Wed Mar 27 17:41:42 GMT 2024","Wed Mar 27 17:41:56 GMT 2024","13946","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Wed Mar 27 17:40:50 GMT 2024","Wed Mar 27 17:40:51 GMT 2024","1411","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"failed","Wed Mar 27 17:40:41 GMT 2024","Wed Mar 27 17:40:48 GMT 2024","7255","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:41:23 GMT 2024","Wed Mar 27 17:41:23 GMT 2024","64","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Wed Mar 27 17:41:21 GMT 2024","Wed Mar 27 17:41:23 GMT 2024","2248","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"failed","Wed Mar 27 17:41:23 GMT 2024","Wed Mar 27 17:41:30 GMT 2024","7072","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"failed","Wed Mar 27 17:41:32 GMT 2024","Wed Mar 27 17:41:41 GMT 2024","9010","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Wed Mar 27 17:41:56 GMT 2024","Wed Mar 27 17:42:01 GMT 2024","5495","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"failed","Wed Mar 27 17:41:08 GMT 2024","Wed Mar 27 17:41:16 GMT 2024","8494","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
"broken","Wed Mar 27 17:41:23 GMT 2024","Wed Mar 27 17:41:23 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"broken","Wed Mar 27 17:41:41 GMT 2024","Wed Mar 27 17:41:42 GMT 2024","947","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"failed","Wed Mar 27 17:40:30 GMT 2024","Wed Mar 27 17:40:38 GMT 2024","8187","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:40:52 GMT 2024","Wed Mar 27 17:41:08 GMT 2024","16004","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:41:16 GMT 2024","Wed Mar 27 17:41:21 GMT 2024","4963","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"passed","Wed Mar 27 17:40:38 GMT 2024","Wed Mar 27 17:40:39 GMT 2024","1171","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"broken","Wed Mar 27 17:40:52 GMT 2024","Wed Mar 27 17:40:52 GMT 2024","3","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Wed Mar 27 17:41:30 GMT 2024","Wed Mar 27 17:41:30 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"passed","Wed Mar 27 17:40:18 GMT 2024","Wed Mar 27 17:40:30 GMT 2024","12191","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Wed Mar 27 17:41:30 GMT 2024","Wed Mar 27 17:41:32 GMT 2024","1265","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
